,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,zipcode,lat,long
0,2014-10-22,1495000,4,3,3070,10375,2,No,No View,Average,10,1962,98004,47.5862,-122.198
1,2014-11-26,1495000,4,4,3770,4000,2,No,No View,Very Good,9,1916,98122,47.6157,-122.287
2,2015-01-29,1490000,4,2,2420,18480,1,No,No View,Good,9,1967,98004,47.6214,-122.227
3,2015-03-31,1490000,3,4,4560,14608,2,No,Average,Average,12,1990,98034,47.6995,-122.228
4,2014-09-11,1490000,5,4,3620,7821,2,No,Average,Average,10,1958,98040,47.5738,-122.215
5,2014-08-22,1488000,5,6,6880,279968,2,No,Good,Average,12,2007,98045,47.4624,-121.779
6,2014-07-18,1488000,4,4,5180,13077,2,No,Good,Average,12,1998,98006,47.5513,-122.109
7,2014-06-12,1485000,4,4,4030,10800,2,No,No View,Average,10,2006,98033,47.6821,-122.196
8,2014-10-01,1485000,4,3,3730,7200,2,No,No View,Average,10,2006,98033,47.6824,-122.199
9,2015-05-06,1485000,6,3,4430,6440,2,No,Good,Average,10,1964,98118,47.5462,-122.265
10,2014-10-02,1485000,4,4,3930,6120,2,No,No View,Average,10,2007,98105,47.6646,-122.28
11,2014-09-23,1484900,5,2,4570,19252,2,No,No View,Very Good,10,1965,98040,47.5553,-122.22
12,2015-05-07,1482500,3,2,3290,5000,2,No,No View,Average,9,1939,98105,47.6582,-122.28
13,2014-08-20,1481000,4,4,5220,15411,2,No,Good,Average,11,2006,98075,47.592,-122.085
14,2014-07-28,1480000,3,4,4070,26000,2,No,No View,Average,11,1991,98033,47.659,-122.174
15,2014-07-23,1480000,4,2,3920,7200,2,No,No View,Average,10,1928,98144,47.5731,-122.284
16,2014-07-11,1480000,3,3,3700,2264,2,No,No View,Average,11,1998,98033,47.6653,-122.205
17,2014-07-21,1476000,3,2,4470,22518,2,No,Average,Average,9,1953,98006,47.574,-122.18
18,2015-01-14,1475000,5,4,4770,31570,2,No,No View,Average,12,1990,98006,47.5468,-122.123
19,2014-12-10,1475000,5,3,3680,10300,2,No,No View,Good,10,1927,98105,47.6548,-122.28
20,2015-02-18,1475000,3,3,3910,7080,1,No,No View,Very Good,9,1949,98112,47.6324,-122.289
21,2014-08-27,1475000,4,3,3050,6179,2,No,No View,Good,9,1926,98112,47.6253,-122.284
22,2015-04-21,1475000,3,2,2570,5000,2,No,No View,Average,11,1984,98102,47.6295,-122.32
23,2014-11-20,1470000,4,2,3030,10189,1,No,No View,Average,9,2003,98004,47.6367,-122.206
24,2014-05-19,1468000,4,3,5010,34460,2,No,No View,Average,12,1988,98006,47.5469,-122.127
25,2015-01-02,1465000,4,4,4930,22093,2,No,Good,Average,12,2004,98075,47.5874,-121.965
26,2015-02-06,1465000,3,2,2480,9900,2,No,Good,Average,10,1940,98177,47.7018,-122.381
27,2014-07-09,1465000,6,4,4230,6420,2,No,Good,Good,8,1916,98119,47.6301,-122.369
28,2014-10-30,1465000,4,2,2800,4000,2,No,No View,Average,9,2011,98103,47.6695,-122.339
29,2014-06-20,1462500,5,3,3840,4800,3,No,Good,Average,10,2008,98144,47.5929,-122.29
30,2014-10-17,1460000,4,4,4200,14353,2,No,Average,Average,12,1996,98040,47.5331,-122.217
31,2015-04-28,1459000,4,4,4620,130208,2,No,No View,Average,10,2014,98024,47.5885,-121.939
32,2014-09-29,1457000,4,2,2650,6900,2,No,No View,Good,9,1909,98112,47.6275,-122.305
33,2015-02-25,1454000,5,4,4070,11334,2,No,No View,Average,10,2014,98033,47.6771,-122.187
34,2015-03-19,1452000,2,3,2070,3128,2,Yes,Good,Average,9,1988,98075,47.5686,-122.06
35,2014-11-24,1450000,4,4,4300,108865,2,No,No View,Average,11,2014,98074,47.6258,-122.005
36,2015-04-01,1450000,4,4,5000,38012,2,No,No View,Average,11,2004,98029,47.554,-122.036
37,2015-05-02,1450000,3,4,3970,24920,2,No,Average,Average,10,1977,98034,47.7183,-122.258
38,2014-10-13,1450000,4,4,4360,24603,2,No,No View,Average,12,1998,98074,47.6035,-122.005
39,2014-10-31,1450000,5,3,3090,19865,1,No,No View,Good,9,1953,98039,47.6232,-122.235
40,2015-03-02,1450000,4,3,2750,17789,2,No,No View,Average,8,1914,98004,47.6141,-122.212
41,2015-02-24,1450000,3,4,4110,15720,1,No,Fair,Average,10,2000,98034,47.6996,-122.229
42,2015-03-27,1450000,3,2,2230,13529,1,No,No View,Average,9,1949,98004,47.6204,-122.217
43,2014-10-07,1450000,3,3,3940,9671,1,No,Excellent,Very Good,9,1967,98006,47.5654,-122.158
44,2014-10-21,1450000,5,4,4170,9090,2,No,No View,Average,10,2008,98004,47.5918,-122.196
45,2015-03-25,1450000,4,4,3720,8301,2,No,No View,Average,10,2008,98004,47.5885,-122.199
46,2015-03-27,1450000,4,4,2820,7809,2,No,No View,Average,10,1995,98004,47.622,-122.195
47,2014-10-13,1450000,3,3,4380,6320,2,No,Good,Very Good,10,1952,98199,47.6452,-122.411
48,2014-07-07,1450000,4,3,3770,4103,2,No,No View,Very Good,9,1925,98109,47.641,-122.349
49,2014-08-05,1450000,4,3,3100,3900,2,No,Average,Very Good,9,1923,98109,47.6385,-122.348
50,2015-02-27,1450000,4,4,2860,2199,3,No,No View,Average,10,2013,98102,47.6262,-122.323
51,2015-04-01,1445000,4,4,3470,8580,2,No,No View,Average,11,2007,98199,47.6433,-122.403
52,2014-08-07,1445000,4,2,3200,3600,3,No,Good,Good,9,1997,98119,47.632,-122.369
53,2014-12-01,1444000,4,3,2660,9547,1,No,Fair,Average,8,1968,98004,47.616,-122.218
